name,country,type,lat,lon,surface_area_km2,depth_max_m,depth_mean_m,efch4_mgCH4m2d
Shuchi,Russia,Lake,68.45,161.2,0.0487,11,,71.2
Skärgölen,Sweden,Lake,58.76,16.23,0.16,13,,0.8
Skottenesjön,Sweden,Lake,58.35,12.13,0.4909,3.6,,23.3
Smith A13a,Alaska,Lake,64.865,147.868,0.094,4.4,,8.2
Soppensee,Switzerland,Lake,47.09,8.08,0.23,26,12.2,24.4
St Lucia 1,Australia,Lake,-27.5,153.016,0.022727,,,0
St Lucia 2,Australia,Lake,-27.498,153.017,0.004291,,,0
St Lucia 3,Australia,Lake,-27.498,153.017,0.001755,,,0
Stevens Pond,Alaska,Lake,64.863,147.871,0.002,1.1,,185.9
Stora Vänstern,Sweden,Lake,58.62,15.15,1.13,21,,0
SUKA P1,India,Lake,13.7,80.028,,,,0
Swampbuggy A18,Alaska,Lake,63.055,147.421,0.142,4.9,,9.6
Syrjänalunen,Finland,Lake,61.19,25.14,0.01,9,,2.1
Tereza,Brazil,Lake,-18.961,-57.441,,,,1.1
THKP1,India,Lake,10.809,79.139,,,,0
Toolik A28,Alaska,Lake,68.632,149.605,1.449,24.1,,1.9
TR,Brazil,Lake,-17.853,-57.482,71.4,,,81.9
TSFP1,India,Lake,10.807,79.135,,,,0
TSFP2,India,Lake,10.814,79.135,,,,0
Tube Dispencer,Russia,Lake,68.45,161.2,0.0925,17,,71.2
Tuesday,United States,Lake,46.251,-89.498,0.3125,15,6.9,2.1
Türlersee,Switzerland,Lake,47.27,8.5,0.48,25,,1
Uebeschisee,Switzerland,Lake,46.73,7.57,0.14,15,,50.6
Valkea-Kotinen,Finland,Lake,61.24,25.06,0.04,8,,1.9
Vault,Alaska,Lake,65.029,147.699,0.003,4.6,,86.4
Võrtsjärv,Estonia,Lake,58.25,26.042,270,6,2.8,14
Ward,United States,Lake,46.255,-89.517,0.027,8.2,2.7,36.5
West Long,United States,Lake,46.236,-89.503,0.049,14,3.9,0
Wintergreen Lake,United States,Lake,42.398,-85.385,0.15,,3.54,336.6
Allatoona,United States,Reservoir,34.14,-84.64,49,,9.2,15.7
Armentera,Spain,Reservoir,42.169,3.026,0.001,3.6,1.5,0
Balbina,Brazil,Reservoir,-1.791,-59.566,2360,,,0
Barra Bonita,Brazil,Reservoir,-22.52,-48.583,324,,11.1,4
Boadella,Spain,Reservoir,42.349,2.829,0.037,2.6,1.1,14
Cahora Bassa,Mozambique,Reservoir,-15.586,32.705,2675,,20.9,0
CB2,Mozambique,Reservoir,-15.587,32.375,,,,0
CB3,Mozambique,Reservoir,-15.557,32.634,,,,0
Cle Elum,United States,Reservoir,47.28,-121.108,19.4,,,0.5
Corumbá,Brazil,Reservoir,-17.987,-48.525,60,,21.8,263.6
Curua-Uná,Brazil,Reservoir,-2.82,-54.283,72,,6.9,38.7
Douglas,United States,Reservoir,35.96,-83.54,115,,11.6,0
Eastmain 1,Canada,Reservoir,51.5,-74,602.9,63,16,0.4
Ecological Station of Seridó,Brazil,Reservoir,-6.58,-37.26,0.2,,2,22.7
Eguzon Reservoir,France,Reservoir,46.431,1.614,2.7,58,18,2.7
ELA High C Reservoir,Canada,Reservoir,49.67,-94.75,0.0074,,0.9,3.3
ELA Lake 979,Canada,Reservoir,49.77,-93.8,0.17,,,0
ELA Low C Reservoir,Canada,Reservoir,49.67,-94.75,0.0063,,1.1,3
ELA Medium C Reservoir,Canada,Reservoir,49.67,-94.75,0.005,,0.9,2.2
Emigrant,United States,Reservoir,42.15,-122.6,3.26,,16.1,0
Fontana,United States,Reservoir,35.45,-83.81,43,,41.4,0
Foster,United States,Reservoir,44.42,-122.617,4.9,,15.2,52.5
Funil,Brazil,Reservoir,-22.529,-44.563,33.5,,19.7,75.7
Furnas,Brazil,Reservoir,-20.717,-45.926,1440,,14.375,288.2
Gatun,Panama,Reservoir,9.23,-79.883,431,,12.4,525.1
Gold Creek Reservoir,Austrailia,Reservoir,-27.45,152.86,0.19,,,0
Guntersville,United States,Reservoir,34.42,-86.39,279,,4.5,13.8
Hartwell,United States,Reservoir,34.47,-82.85,226,,13.9,0.2
Ilarion Glossa,Greece,Reservoir,40.008,21.816,21.9,,,0
Itaipu,Brazil,Reservoir,-25.38,-54.55,1350,,95.6,0.6
Itezhi Tezhi,Zambia,Reservoir,-15.744,25.986,365,,,0
Itumbiara,Brazil,Reservoir,-18.4,-49.05,719,,21,41.7
JC Boyle,United States,Reservoir,42.13,-122.033,1.7,,3.4,465.9
Kachess,United States,Reservoir,47.25,-121.2,18.37,,,0.5
Kariba,Zambia/Zimbabwe,Reservoir,-16.938,28.088,5400,,,19.8
Keechelus,United States,Reservoir,47.35,-121.369,9.75,,,0.1
Keno,United States,Reservoir,42.12,-121.917,9.8,,,311.2
L.C.B. de Carvalho,Brazil,Reservoir,-20.15,-47.25,,,,4.4
Lacamas Lake,United States,Reservoir,45.37,-122.25,1.3,,7.8,80.1
Lake Dillon,United States,Reservoir,39.62,-106.05,13,57,24.6,0
Lake Klöntal,Switzerland,Reservoir,47.026,8.981,2.25,45,,0
Lisdorf,Germany,Reservoir,49.296,6.765,0.06,,,113.9
Little Nerang Dam,Australia,Reservoir,-28.153,153.283,0.5,,,294.5
Lokka,Finland,Reservoir,67.82,27.733,417,,3.65,115.5
Lower Monumental Reservoir,United States,Reservoir,46.562,-118.536,26.7,,,522.5
Mainskaya,Russia,Reservoir,52.969,91.498,11.5,,,0
Manimuthar Dam (TMMD1),India,Reservoir,8.646,77.424,,,,0
Manso,Brazil,Reservoir,-14.87,-55.767,357,,15.7,108.4
Mascarenhas de Moraes,Brazil,Reservoir,-20.27,-47.05,249,,,6.6
Mettlach,Germany,Reservoir,49.491,6.581,0.39,,,48.1
Miranda,Brazil,Reservoir,-18.92,-48.033,51,,158.1,31.9
Nam Leuk,Lao PDR,Reservoir,18.45,102.95,13,,14,0
Nam Ngum,Lao PDR,Reservoir,18.53,103.55,350,,19,0
Nam Theun 2,Laos,Reservoir,17.988,104.951,355,,7.8,76.9
Nielisz,Poland,Reservoir,50.78,23.017,10.6,,2,0
Okhla,India,Reservoir,28.549,77.316,3.7,,2,0
Olot,Spain,Reservoir,42.249,2.491,2.56,45.5,16.5,63.8
Palar-Porunthalar Dam (ODPP D2),India,Reservoir,10.382,77.489,,,,0
Pampulha,Brazil,Reservoir,-19.83,-43.967,1.96,,5.08,734.3
Parapalar Dam(ODPA D1),India,Reservoir,10.433,77.689,,,,0
Petit Saut,French Guiana,Reservoir,5.05,-53.033,365,,9.6,0
Polyfytos NOK,Greece,Reservoir,40.235,21.964,74,,,0
Porttipahta,Finland,Reservoir,68,26.75,214,,6.3,0.8
Priest Rapids Reservoir,United States,Reservoir,46.643,-119.913,31.3,,,560.8
Rehlingen,Germany,Reservoir,49.374,6.699,0.17,,,32.1
Rzeszów,Poland,Reservoir,50.01,21.99,1.18,,0.5,0
Saarbrucken,Germany,Reservoir,49.24,6.929,0.04,,,0
Samuel,Brazil,Reservoir,-8.8,-63.417,559,,8.9,16.5
Sayano-Shushenkaya,Russia,Reservoir,52.826,91.37,608,,,0
Segredo,Brazil,Reservoir,-25.804,-52.134,81.5,,36.6,1.8
Serinyá,Spain,Reservoir,42.187,2.764,0.012,5.4,2.5,3.6
Serra da Mesa,Brazil,Reservoir,-13.935,-48.315,1784,,30.5,110.5
Serrig,Germany,Reservoir,49.567,6.593,0.38,,,439.5
Solina,Poland,Reservoir,49.37,22.45,22,,22,0
St. Aniol,Spain,Reservoir,42.302,2.589,0.109,5.7,1.8,0
Tehri,India,Reservoir,30.38,78.48,52,,,4.8
Thirparappu Dam (NTHD D1),India,Reservoir,8.392,77.258,,,,136.2
Three Gorges,China,Reservoir,31.03,109.55,1084,,70,0
Tres Marias,Brazil,Reservoir,-18.23,-45.25,1040,,20.2,164.8
Tucuruí,Brazil,Reservoir,-3.92,-49.609,2484.333333,,18.9,27.9
Vettaru Dam (THVD1),India,Reservoir,10.822,79.053,,,,49.4
Watts Bar,United States,Reservoir,35.62,-84.78,176,,7.9,1
Wilcza Wola,Poland,Reservoir,21.9,50.35,1.6,,2.6,0
William H. Harsha Lake,United States,Reservoir,39.021,-84.119,8.53,,,640.4
Wohlen,Switzerland,Reservoir,46.97,7.283,2.5,,10,330.5
Xingo,Brazil,Reservoir,-9.62,-37.783,60,,11.7,10.8
